Compound_ID	YM_A2	YM_A5	YM_A6	YM_A7	YM_A8	YM_A9	YM_A10	YM_A11	YM_A13	YM_A14	YM_A16	YM_A17	YM_A18	YM_A19	YM_A23	YM_A24	YM_A25	YM_A26	YM_A27	YM_A29	YM_A30	YM_B1	YM_B2	YM_B3	YM_B4	YM_B5	YM_B6	YM_B7	YM_B8	YM_B9	YM_B10	YM_B11	YM_B12	YM_B15	YM_B17	YM_B19	YM_B20	YM_B21	YM_B24	YM_B26	YM_B28	YM_B30	YM_B31	YM_B32	YM_B33	YM_B34	YM_B35	YM_B36	YM_B37	YM_B38	YM_B41	YM_B42	YM_B43	YM_B44	YM_B46	YM_B48	YM_B50	YM_B52	YM_B53	YM_B54	YM_B55	YM_B56	YM_B57	YM_B59	YM_B61	YM_B63	YM_B64	YM_B65	YM_B66	YM_B67	YM_B68	YM_B69	YM_B71	YM_B72	NC_B2	NC_B3	NC_B4	NC_B5	NC_B6	NC_B7	NC_B8	NC_B9	NC_B10	NC_B11	NC_B12	NC_B13	NC_B14	NC_B15	NC_B17	NC_B18	NC_B19	NC_B20	NC_B21	NC_B22	NC_B23	NC_B24	NC_B25	NC_B26	NC_B27	NC_B28	NC_B29	NC_B30	NC_B31	NC_B32	NC_B33	NC_B34	NC_B35	NC_B36	NC_B37	NC_B38	NC_B39	NC_B40	NC_B41	NC_B42	NC_B43	NC_B44	NC_B45	NC_B46	NC_B47	NC_B48	NC_B49	NC_B50	NC_B51	NC_B52	NC_B53	NC_B54	NC_B55	NC_B56	NC_B57	NC_B58	NC_B59	NC_B60	NC_B61	NC_B62	NC_B63	NC_B64	NC_B65	NC_B66	NC_B67	NC_B68	NC_B69	NC_B70	NC_B71	NC_B72	NC_B73	NC_B74	NC_B75	NC_B76	NC_B77	NC_B78	NC_A1	NC_A2	NC_A3	NC_A4	NC_A5	NC_A6	NC_A7	NC_A8	NC_A9	NC_A10	NC_A11	NC_A12	NC_A13	NC_A14	NC_A15	NC_A16	NC_A17	NC_A18	NC_A19	NC_A20	NC_A21	NC_A22	NC_A23	NC_A24	NC_A25	NC_A26	NC_A27	NC_A28	NC_A29	NC_A30
Com_10020_neg	1974384.966	7217732.675	4884900.64	5804294.465	5734716.693	6202689.088	2849043.529	2220986.748	3281439.907	2693483.13	6627824.157	2616751.803	3622119.198	4701761.281	6781421.799	4500198.105	1799259.353	6469231.173	5334714.914	1762953.659	3952227.786	4575179.136	8495447.213	9491829.393	7121229.679	2596485.614	7053884.416	1384413.34	1740601.751	6313923.286	2705429.248	6704952.894	4348708.694	7605515.331	5059398.998	7607458.18	4646055.084	2948753.176	6317155.606	3746594.839	5496442.236	5630377.518	2669868.001	1489511.679	1808421.354	1978735.073	2303333.205	6157287.972	2532891.462	6218495.789	3576687.011	4342406.212	2489733.19	3562594.872	2236586.857	3720319.733	5592593.443	10322164	4983055.674	5587195.203	3627497.396	5467494.439	4142268.961	5539948.355	2080551.5	3361796.908	5433739.703	5611170.772	3808261.685	1633736.124	4980481.948	3803385.116	5138481.092	2031421.898	7118912.76	5808921.28	718602.4743	5964672.6	5270800.768	9722178.13	4986395.058	2347070.489	5062349.759	4131081.358	1761402.215	2912117.941	6775342.115	5461222.477	3462370.44	2996456.339	2557366.674	4886244.054	3268085.314	1312028.289	9044551.408	2181809.29	945124.0864	5564047.762	2148640.366	4915774.026	5849998.001	1342191.293	2046347.729	3745036.219	2752161.726	3581274.799	1970655.201	1363495.025	2149299.52	4397492.926	3222573.22	7824584.72	3205783.396	2385797.987	3621434.967	2016702.547	8913632.759	1892329.029	4183469.881	2703176.332	3126091.172	908005.275	3213572.047	2339532.523	1868095.44	6293555.835	1031213.675	1367618.929	1362132.652	497266.3241	1792454.103	3817194.097	1792402.49	1573379.437	6460439.531	1841984.435	981838.6415	2122621.636	4789960.326	5140255.031	3687749.726	4044206.274	3686743.174	3237221.174	1617439.67	5652519.177	2381743.574	2658410.93	8119644.706	1867923.281	4168388.035	560138.9478	919586.0164	4041939.41	3717380.807	3375962.207	1665866.99	3644740.106	3764888.99	3663100.569	4970378.402	4646718.48	4557056.542	3982982.44	3355842.098	988064.7188	3449503.99	5626500.728	3339486.809	2455550.884	2385098.886	3542446.062	1341252.301	2749661.164	6531441.209	3288583.859	4119696.74	840796.2903	3343989.931	4323362.461
Com_1002_neg	299978.8357	979538.0939	278397.7691	248906.9075	456888.1057	289840.986	329456.9396	585627.5028	899637.0119	290635.1577	260723.8598	267707.0129	259315.5637	251498.9654	263164.4173	341943.8418	876160.9922	255346.461	244127.2359	121759.4619	633458.9908	693626.2932	253536.7381	202373.1674	903757.7475	446570.0699	310870.2104	705744.4468	337399.2269	311165.3508	6459799.657	406113.2729	803993.1011	270947.5833	356778.5748	246133.4442	588460.1327	435622.2105	241611.8281	266993.2605	270519.5032	236041.3518	327752.012	772254.4856	299228.5524	1969037.346	290823.8731	302264.6888	330267.7573	277347.717	300997.5296	301273.139	562996.7469	806525.44	289089.5888	435684.8686	347576.2985	303932.7268	291858.1831	520109.7551	301022.4991	491745.8129	387145.0681	283198.6042	840102.3705	857624.6671	257195.2914	359657.9741	773814.0028	329569.0762	306859.4406	19822263.04	294098.4988	693863.6624	208450.8133	247002.5749	567696.9132	191881.9746	481664.3853	222715.2068	225072.9231	316191.054	237553.5793	2515756.723	222943.5714	260860.4826	376772.3935	297215.4489	220010.97	213187.4481	221641.6972	367463.4665	250577.8744	248458.3573	210600.2649	216224.5212	272896.9482	229335.9672	284526.0559	186011.6664	207139.8792	433916.4962	223252.3101	269313.0976	242366.1072	240587.0965	232224.7625	204781.6912	249520.0502	235927.0174	226172.2125	207964.0688	264872.105	231109.1887	248353.9914	361648.4862	215953.1742	251688.4937	207837.2881	254242.5903	205683.4365	278126.608	213301.2115	248854.6561	207721.9619	189851.0684	195476.6524	233874.185	385904.1712	263834.0079	229059.2005	311674.4663	264041.0995	280072.4816	237784.4767	313080.6377	256867.6185	244382.1184	226968.2484	303745.6237	226892.4589	234748.9561	207969.1517	698603.6203	254033.6727	233243.8863	224509.9541	302541.1548	288467.9939	255007.5118	323268.8371	119334.0383	233922.8299	203877.6839	234855.442	210852.9894	239784.9205	417089.6882	275442.593	260087.2719	286502.1047	248282.5673	312186.4434	239388.3059	213520.8529	259402.3105	208014.0649	242189.9401	262787.4265	388328.7989	227919.1904	274128.6646	218925.757	210161.677	207618.6821	257453.927	211307.2494	336695.5376	272081.7417	198418.7473
Com_1003_neg	4300381.091	3486503.164	4043188.833	4089010.94	3036705.859	3781071.139	3906818.037	4609509.813	6239598.36	3482520.829	3800793.389	3438777.502	4028497.784	3937852.17	5580104.755	5240967.46	12601540.58	3406459.181	10470633.63	2634963.606	3836767.46	4419007.039	4775416.765	2895341.517	3895311.57	3507737.837	4426837.375	5522286.365	4937879.507	4137782.534	5791811.23	5557701.901	3667379.801	3705907.295	3968607.58	3415076.441	6646562.579	10766666.51	3472821.769	6276490.707	4801615.912	3700745.734	7643465.266	3383850.88	3721912.741	4150622.757	7126162.704	3338618.327	4878793.659	3277896.189	4342498.673	4703080.3	25679870.97	11521891.32	3910940.643	4568887.139	4036410.128	3105900.945	6074929.948	4783194.214	4178924.841	3063457.202	2658770.8	3281976.016	12808612.8	3728695.829	4363389.083	4066664.778	4529312.974	5460467.686	3603249.188	10171303.46	3846442.783	13110448.35	3573177.546	3742840.811	3798826.225	4193965.408	3148994.773	4390328.87	4428746.365	5232431.159	3725383.802	4699331.504	4866507.069	4053036.993	3856724.318	4248018.527	4932767.798	4091453.368	4300765.013	4224471.271	4408694.816	4701588.48	3693311.957	4603147.044	4023506.388	3397521.358	3969717.53	4835573.885	3621597.705	3913690.479	4507663.651	4711172.222	4492705.918	6437609.105	3821213.161	5147131.739	4523483.508	4217981.561	4079362.484	4636304.6	4465210.316	3865343.388	4125879.38	4967100.67	4251957.896	4490491.584	4084335.218	5381056.169	4450607.001	4121723.14	5099406.345	4188004.461	4732427.867	4219935.227	5168133.835	4382120.815	4424189.333	3984159.561	4936722.842	3553045.09	4430133.583	5734931.708	4744843.668	3834681.379	4063755.504	4541356.666	3620097.88	4409339.134	4481004.517	3710206.43	3760283.681	5105022.773	4168555.829	4107941.334	4998347.11	4048786.882	3389463.179	6569821.232	3950742.23	2535472.752	4366215.213	4692406.014	4629763.921	3269097.462	4725882.306	4029670.924	4498252.758	4404610.435	4050166.741	4647744.997	4664524.434	4400472.761	4207057.326	4099907.057	5179952.297	4241818.383	4232251.956	3793864.946	4380301.601	3572590.68	4616544.692	3886046.944	4196680.199	4820942.713	6873914.565	4397772.411	4904032.548	3650692.203
Com_10041_neg	4372207.256	4044473.95	5309042.551	6487035.566	5189996.919	7276972.564	3940447.667	6199944.505	5376159.234	3990929.254	4874800.955	4159910.587	5504939.868	5612450.604	7512171.801	6422171.38	4013588.217	5391448.748	7448005.216	3253308.009	4429952.469	4725768.136	6324116.533	6091706.196	4394851.312	4417705.768	11298726.47	2794246.677	2630042.059	7310049.034	3448044.631	4962309.618	5626442.833	4629485.083	4212377.893	6695278.858	5159675.455	3760130.499	5531715.893	4677172.033	6180523.459	6322560.072	2972370.256	5140225.814	4444187.813	3016515.811	3409074.598	4916795.31	5478849.023	5319220.588	6662673.534	5795750.897	3507612.838	4273265.23	4494368.781	7526452.83	6137057.015	8987506.554	5183623.674	5297336.961	4403807.329	5831318.476	6983139.507	6110470.416	4061491.658	4132283.361	4518795.235	12612037.34	4892006.284	5968118.093	6514472.127	3477422.346	5562524.012	4986008.999	5512714.314	6392530.509	4386319.796	5042649.034	4917874.27	4498924.338	5492015.369	5836220.862	5655039.82	5597895.19	5291324.396	3699134.747	5765126.194	3795392.555	3584127.833	4034560.074	6030919.006	3454223.114	7011616.624	4498312.559	5936938.822	3487657.576	4192171.08	6552043.132	5686491.771	7408567.061	4934333.251	5087045.506	4195837.949	4988692.892	4071711.128	7224313.35	4402245.776	4505759.522	4809487.031	5380148.469	5184964.719	3783639.873	4767304.5	3847521.902	4437192.75	6471879.536	5180121.694	4440113.904	5626229.739	3772818.427	9903566.816	4715008.315	5764726.833	6242554.285	4130663.814	6057755.377	5173932.97	2638140.727	2861964.911	3379083.039	4025905.406	4835348.301	5915905.134	3482555.157	12647584.91	5694125.877	4206579.407	4114505.555	4609990.442	5565728.01	6180106.387	8326217.789	6700124.768	6995220.414	3981632.045	8125854.93	4283884.289	4491553.769	3698070.491	4273135.011	5390287.691	2352353.459	4818996.989	4234719.564	5299443.131	8599089.717	4303184.021	4063241.185	8028942.458	3902248.586	6310049.106	6900632.89	3576325.364	4369810.919	5146570.492	4609738.637	5643382.217	6074554.783	4523982.909	3644825.259	4842163.765	5453843.962	6427475.119	4795755.781	5552478.475	4946685.334	4376469.35	4197189.517	7672166.473	3424356.425
Com_10044_neg	3343989.549	6991603.108	6012217.809	8940605.641	7547621.593	8547365.926	2924992.474	3310987.32	4846929.494	3259911.115	6574041.931	3353997.293	4878042.354	6809088.835	6789793.297	3318828.823	2674508.211	7466159.55	5922155.388	3141022.386	4514163.804	7397097.702	7856809.576	7842685.393	6995175.28	4463628.358	6356284.723	2575291.722	2175465.246	4580964.81	2310689.981	7344278.23	6079872.714	7822855.386	6605504.724	11030590.99	7123168.379	3426060.903	5604999.005	2955212.928	6116445.317	6345462.647	3285587.601	3177069.566	4668717.991	3723005.205	1427150.054	6165301.772	5782364.175	8115794.635	5192782.48	6776364.041	3658625.207	4733805.543	3380239.145	3465676.338	6585804.876	7757617.287	7125549.901	5836681.324	5655086.799	6172882.799	6026036.122	4782601.669	2898091.714	4395990.843	6761102.186	6122201.086	5943010.944	3528524.652	5977124.802	6536084.261	5807520.334	2374187.386	7557603.153	5334153.592	3568722.981	7172664.769	5221761.624	8945622.394	7042245.925	6128385.372	6997459.949	6073408.818	3777646.321	3386111.68	5837135.656	6974789.134	4300552.49	3476993.771	4294677.722	5830294.999	5462237.71	3351655.747	5647929.079	4185404.942	3081943.181	6482874.989	5268683.811	5536597.92	8157573.744	4525648.551	3470808.613	4844444.724	3963213.973	6145289.354	5058823.65	3121171.736	4132111.54	5127954.256	4115168.306	5804709.809	4401915.093	4384121.892	6464177.717	4510186.188	7238428.306	3942753.979	6497030.696	3293724.456	5013322.515	1415722.915	3866814.886	3196159.026	4115614.346	6810696.291	2857508.091	2449631.455	2270962.815	1019415.449	2448115.01	5994412.766	2481183.258	3439940.698	5919573.876	3120022.372	2286385.879	3095120.192	5889037.533	6475361.702	5859951.971	6241578.224	6672237.358	5194994.443	3402168.123	7870218.639	3730829.436	4838221.435	5901948.821	3046098.122	7804210.833	2288146.905	1557137.461	6893119.038	7001372.424	7609288.014	2704897.408	6574524.776	7396230.417	6939260.106	8517285.511	7703774.972	5493628.871	6051945.268	3499383.382	2867138.431	3969596.521	5941880.011	5272105.425	3825362.351	5001724.114	7318159.773	1905805.524	4921101.53	6574666.175	4716799.766	5735398.541	2129116.556	3924774.771	5415159.632
Com_1007_neg	44461841.35	216272772	34382845.62	40489239.72	99406797.42	45697759.89	103473466.4	17703903.66	33160490.35	44124762.16	52967712.68	35211079.2	51158119.78	41792433.99	39368695.82	73018858.66	140094947.1	60708633.55	65413562.62	59437756	53194094.96	4091493.707	23965620.8	40065446.05	28963337.42	11760406.36	100824141.6	79700455.9	84374565.04	34610548.75	109367087	60396260.62	27533208.6	61953939.74	53570604.8	39460475.84	75252380.84	129528573	53658305.22	51367453.98	64123444.22	75696027.16	19777183.65	41718829.27	123868455	46271905.87	24697205.68	77670392.66	24379085.67	34148197.97	53379972.61	52360974.19	16086912.56	120892906.8	48425659.8	50636886.11	139067638.5	40450173.53	52897437.1	47736194.36	72270684.13	77409464.94	47206537.2	54305232.86	146116024.5	117013608.2	44477636.62	34280743.68	36101181.76	74895336.11	8225264.702	85762253.63	63588829.79	45786838.61	35295467.95	27047183.28	42914898.19	40742206.18	31538854.46	37395974.54	32091611.13	41300916.42	29029952.21	34770825.1	47321195.06	39086937.32	43248703.5	53160931.67	59879573.55	32959942.17	38542331.94	26889047.99	37496826.03	31592017.02	33283653.9	44335741.56	44421852.78	38096374.39	75294020.31	49712097.03	86039773.89	44207432.69	47281760.3	63295372.35	87644950.48	53061871.86	46539429.94	65259825.02	51706365.19	32583381.52	37642266.98	68968982.24	31775770.26	47208615.25	26489029.47	45508808.51	52429614.82	33141999.33	37709251.71	69486953.99	36562592.07	49277018.46	59933220.09	44348299.26	56549500.41	47413938.79	43978821.95	27189941.35	34059046.17	45764237.12	39935670.1	71002314.19	64604420.18	22095574.37	36387364.69	83565353.35	59463117.45	23892081.41	40535063.99	31751180.86	40752206.23	28132445.35	35305741.9	44107078.08	78201418.8	29480587.41	36413277.26	37289147.82	73199208.02	29032247.05	38924528.24	50564799.07	29066875.76	48923531.7	28378360.66	33689398.05	34289904.69	32606057.37	37577429.57	42434679.4	40865319.09	44662925.45	37702338.2	26984698.24	35599706.02	30610395.93	34640279.95	22206112.85	47546154.11	32217398.56	26968937.82	51208857.53	38834867.27	7494151.982	41611800.59	39776599.35	30521116.45	31782232.88	24315695.76	45430189.82
Com_10094_neg	258545.9937	209614.3124	243083.1716	217576.9045	179320.9296	219956.7022	233285.3888	277131.3217	229998.205	204483.787	199835.7115	200014.8932	242199.9215	236054.891	335485.0881	211105.4604	284528.4295	189405.8451	366771.5214	155811.6876	230672.7787	250649.7123	251182.5679	174072.7005	234192.5471	209983.7029	266148.7538	259079.6274	296873.4485	221396.891	312490.1996	223055.7673	220488.9137	164459.7438	238599.2239	197865.4966	274560.9957	386653.9767	208791.7643	343548.7567	224353.5936	222494.9285	304770.1513	200157.2631	215805.648	225852.5033	288673.6577	190626.7497	293321.1099	197072.5174	219216.2831	282756.9335	1543916.136	279212.5989	235044.7062	228105.8762	242675.6247	169416.1468	284697.9429	286438.8694	246346.8508	184180.0924	159849.6794	187035.6144	280125.6841	223506.252	262334.138	227728.6865	263031.2108	228281.59	197666.8797	289050.4798	230197.8556	275431.7394	188454.2562	217534.4365	193879.4515	196279.11	175020.912	263953.8024	219094.2825	271867.8421	211358.5221	282531.5497	292582.4199	243675.2592	219012.218	237223.1935	222856.118	202233.2596	243910.977	253982.1703	265057.9933	282667.2428	196789.198	276748.7815	211747.1965	189514.3626	222745.7539	290722.666	204465.3952	224303.9521	268532.4533	283243.4331	264225.8015	365740.8679	215369.9422	280514.5729	271959.2785	235868.5267	237697.5033	221962.6619	263105.4426	223042.8549	230878.7158	298630.2729	218006.597	261552.7265	236718.3873	318108.3925	251229.869	229397.5782	300080.6402	251789.7257	284476.8227	234856.583	310716.7179	220085.4459	262794.8471	218197.9516	11662837.69	213614.9225	266346.9273	266335.4364	285267.8159	220240.6044	243812.855	235930.7445	217646.2467	265096.7308	269405.3716	223063.7211	226074.448	306922.3769	247043.7231	222551.1782	300508.8604	214591.0919	190784.457	305422.7678	227849.7462	151437.0917	260575.179	263484.5977	258018.9753	193375.7237	284127.8276	242270.4527	262536.8173	234261.7763	232684.2027	269414.0539	265538.2138	257017.1073	225558.9029	239162.0849	311427.2633	255025.1073	924513.2774	206687.4392	230385.6205	207976.5974	261075.5555	230621.0284	219109.2907	258628.2876	243769.9959	233686.3066	251759.934	203550.57
Com_10148_neg	221337.6092	702756.2005	216093.1247	200537.8953	346451.9647	200101.9001	226208.6497	471825.0209	536909.6159	234157.2735	210058.5099	6292064.383	208923.8819	2184856.476	210161.8211	220714.8315	705900.3829	205726.078	196687.0368	4490846.063	510361.6209	513753.3059	202039.0868	163046.8574	412902.1104	340097.737	250460.1352	405715.22	271833.8816	250697.9222	257810.1479	301659.3831	231918.8684	218295.501	216750.8014	190514.1759	458388.3456	350969.6139	194660.4374	210899.0999	217950.6079	190172.4479	251816.2818	302428.7077	219381.7435	281409.991	203325.0792	243526.8877	244334.3554	223451.9242	242505.9701	198341.5648	445057.3818	645858.4567	232912.0484	351020.096	224058.8485	2179740.82	235142.6337	387171.2731	221169.7109	382123.2324	228426.5837	228165.8336	673412.1867	683595.9982	202961.2195	289767.1819	591765.9802	256203.6429	213406.9115	238709.4159	203701.6481	559028.1116	139645.1302	1090143.99	255290.8209	387566.5223	230847.8005	252467.1553	181335.4669	183638.3687	173603.6185	179324.822	158480.9543	179564.9159	280031.4777	174624.3276	155953.6247	492020.7884	489564.5466	449698.2363	150387.0504	168355.2086	155461.1722	140586.5497	219866.0543	137285.0373	218884.3432	137846.9384	160616.9009	897086.2751	313458.3513	204133.1089	159346.0388	177368.0124	152286.6295	158445.8065	151313.7303	166912.4587	530917.534	158573.7764	197069.8133	162417.248	194790.7947	202960.4885	155267.7646	172597.7648	163205.4975	168457.9541	1357022.353	297105.9226	171851.3015	181488.5099	1766303.549	148929.3973	3833971.187	188426.4173	384330.1924	3509101.142	2706030.25	759467.0637	180057.0792	1879691.674	159758.5266	239402.7825	179816.9317	155669.382	436970.6902	179818.4812	298411.2127	164070.3455	165097.1432	214539.4232	170409.8017	151834.5252	1896197.661	190793.7416	417366.881	156629.741	215383.5983	93807.03277	162609.8945	150844.9094	169911.2653	141428.0704	165875.7692	172277.8688	211217.0636	223587.5072	499859.6556	186438.907	326235.8707	172754.2506	148978.7473	466139.7833	146315.9382	244361.5927	208060.3658	211539.2599	183628.6313	213385.0115	616720.1073	163094.7068	160571.119	464216.3434	150467.568	197482.0112	210865.7159	149757.4109
Com_10187_neg	2527081.549	1734962.123	2220546.943	1944108.706	2420431.689	2122507.674	2163728.163	2864609.164	6888280.055	2411781.269	3286246.429	3055633.362	2962072.16	2636908.727	2116722.696	1451512.561	2335649.691	948573.9157	3349109.715	2478910.747	3526063.274	2528016.349	1658678.906	2397248.382	1976649.441	2548471.21	1164627.013	1137699.329	4782366.113	2782179.363	3020175.727	2120622.479	3209246.301	1422313.232	1460072.221	1589075.391	2628199.239	1622865.196	2021799.693	2952412.505	2755370.732	1816209.036	3749595.486	2686341.366	4448924.361	4567273.799	4924736.803	4777143.398	1561551.348	2869469.101	1968681.099	2570209.113	1425931.54	1940616.818	4178161.176	2679820.183	1450770.468	1802147.265	2932857.854	1762905.792	4652204.514	1393582.915	2556850.336	3589103.594	2171530.823	4293068.263	3474834.93	2461982.325	1808689.539	2976769.654	1964229.408	568445.9335	4285238.578	3950368.014	1968927.17	3938502.265	4010432.8	3800125.914	2649149.492	3406325.336	4140776.865	3622567.744	2736868.075	2005470.162	4737090.852	4138731.84	1811944.164	2703965.283	5706868.237	9638508.92	3119346.971	4234540.781	3495367.559	5125597.302	3948806.948	7730932.187	3743545.089	5814286.601	2522430.683	4588059.343	1788673.206	3394536.808	3715318.977	6011636.052	3604948.979	3311868.828	4419242.442	6290432.919	3952886.458	5113478.248	5065249.14	3766336.43	6729160.608	3668995.904	3502733.842	2602950.898	3412538.654	2930260.461	3169433.472	4656017.268	3886623.053	3974523.895	5627360.668	4451076.817	3838216.242	4936277.598	4933200.853	5552047.387	6247837.527	7489464.499	6089988.47	3834875.212	5245787.793	5201127.317	3017169.896	2792587.455	2853437.138	4146489.045	4498203.875	3313447.664	3291829.766	4291969.928	6749833.791	2619408.672	3985447.84	2283386.857	4280672.141	3128379.936	3555613.54	4123061.201	2818615.168	2641702.682	3003362.185	3706690.224	2930237.629	2698040.413	3678786.354	4294673.148	2820854.352	3467762.476	2801424.638	4429754.761	3346122.478	3303250.033	3379011.929	3303569.802	5948899.831	2586872.497	3803907.535	3010767.056	3836618.644	2631691.008	6521902.746	3620808.638	2289396.953	3263630.16	3589306.915	3350058.28	2724350.355	6738169.556
Com_10216_neg	5784596.066	977573.0629	622981.2341	1158110.634	1573053.962	838105.4854	892020.9922	2315047.017	2431717.707	1991755.867	1348450.089	1888215.763	2685390.522	993434.2771	1278575.223	1542723.969	2199988.837	4250947.163	1444180.696	1095631.964	676099.975	720602.9494	771242.7138	1617358.173	791681.4312	684226.3673	793700.9902	662530.2077	1923341.54	3201030.112	1474458.38	707507.0824	1446361.494	1339679.314	668832.21	690946.0329	593194.3385	1835908.507	1115834.567	1685049.173	1501809.116	869993.7807	2729888.087	1923438.838	12857184.48	1801131.25	4811682.314	606089.1475	556631.3913	806726.6684	813087.8097	1850181.938	682776.9986	2429369.371	743035.3737	1855442.84	1109304.59	845003.7601	1770158.649	1080165.38	1182545.683	463178.4104	1668074.592	1512017.964	2637962.132	2100237.045	3923802.598	872038.9051	1087213.454	5761498.463	1028338.159	624943.8809	1479392.618	1262887.519	2171770.596	3831811.298	4171869.886	1663213.993	1857662.701	1768728.42	4554596.88	3546622.609	2109891.924	1183821.295	2819195.456	959368.4387	933092.4487	673164.5725	2181764.944	6633743.672	2003199.521	2171926.069	3469461.23	2627130.645	2200532.716	3102780.384	9582955.041	2254441.291	3974381.384	1910954.283	734609.7764	3040204.002	1483083.914	4669465.244	1752680.812	1773946.355	3624126.46	4146457.402	2538467.222	2309101.522	2509204.968	1903715.034	3238089.265	3849694.937	1942993.297	1592286.173	1430145.84	3102356.405	2818428.349	2387903.851	1466391.378	2379409.444	4055548.666	2362295.372	3730562.499	2193512.87	3213525.715	2035450.977	2243441.095	2370466.627	4326122.723	2436825.371	3236556.43	3094085.05	1492530.173	1281950.649	5436964.411	1457569.438	3737429.285	984956.308	5608992.605	3048586.892	2092382.024	1253533.973	2933200.839	1463005.235	5282752.135	2123280.606	1786924.465	4560813.303	3858743.991	4828898.462	4558886.915	2231162.585	1787091.086	2937367.585	1833778.821	2377775.25	1756086.896	2753395.174	2737067.731	2869612.05	983143.5506	3653274.516	3339231.892	4509435.933	3974636.417	1470473.793	1553270.851	3932238.51	4914548.664	1462926.898	5430582.108	2100504.44	1759335.04	2115761.855	1568484.685	5790171.267	6383797.333	7304493.408
Com_10222_neg	2684410.641	3390186.519	2196908.989	1642874.285	2325253.356	3166992.395	4663708.887	3247967.466	1411914.513	1903724.81	3359209.809	1014040.841	2758472.42	2720058.725	2078517.92	2923067.953	70699.72742	5154171.479	1352367.494	2271094.332	1409050.913	6793906.43	4212401.938	2556866.53	3420153.34	3753550.53	5012807.982	4785810.006	3624000.166	10075487.5	5676472.948	1526395.92	2433857.805	4393132.24	1070069.945	3357367.12	1171128.831	1663062.809	2533064.044	1243832.67	2890659.889	2004122.942	2078023.531	1339314.967	993064.7335	431752.9359	1712977.858	1233001.155	1351736.617	2220746.334	3458168.548	1392452.198	1583420.043	361744.8354	1067443.518	4442973.499	2542859.183	2900408.931	1177324.23	3027301.411	580594.9904	2426723.338	3642046.804	838599.4416	68778.96892	3634873.856	3118484.449	866884.583	981291.9349	2203132.21	1316345.488	2017284.86	874929.0452	2967074.018	1571060.355	1550015.783	1959934.768	2015856.354	2141704.603	1081469.101	2240707.209	2235942.732	2257321.82	1250768.868	3142694.56	3148364.995	1301115.035	1514422.878	1195651.511	2171586.081	1552770.894	1466619.117	2226147.961	3082640.838	1470212.376	476135.2851	2535123.319	1270818.922	1695671.072	1637196.469	1429414.971	3259103.035	4579694.147	175886.113	1605643.195	2729578.888	1127454.327	2635132.572	886786.847	1541718.678	1117163.434	1944373.025	1238966.994	2802030.076	2242092.382	3065434.356	617819.8042	2502020.58	994619.2657	1169866.444	1737231.437	1711422.418	1338123.127	3030155.628	2099614.41	1589683.58	1049204.265	1741746.847	3597208.176	2145855.652	2909993.186	1656306.777	1531390.908	1699242.923	536071.5467	2209192.794	1947605.748	1450218.806	1451990.547	666510.7139	1033242.341	1030990.596	188765.5958	1835750.639	1376725.966	648342.1159	939109.0461	1515327.906	1233219.481	2065256.89	1979754.546	161076.351	1352337.869	2491594.451	2369148.62	2424597.136	3501453.451	1301915.991	1598621.896	1515625.751	2347136.692	928013.8275	1215001.491	2253195.94	1493881.222	2011402.037	767365.104	1587750.226	1385937.159	2268658.166	2278654.195	2338970.185	1012959.813	1299811.058	1656623.526	1243846.857	1411461.239	1792077.751	1799034.038	2552806.469
